consulta;codigo_esperado;denominacion;tope;resuelto_ia
una persona que limpia habitaciones de hotel;92101027;CAMAREROS DE PISO (HOSTELERÍA);1;
una persona que conduce autobuses;84201043;CONDUCTORES DE AUTOBÚS, EN GENERAL;1;
una persona que monta placa de pladur;71991021;COLOCADORES DE PREFABRICADOS LIGEROS (CONSTR;1;
una persona que organiza eventos para empresas;35321013;TÉCNICOS EN ORGANIZACIÓN DE FERIAS Y EVENTOS;3;
una persona que reparte comida en moto;84401012;CONDUCTORES-REPARTIDORES EN MOTOCICLETA, CIC;1;
una persona que cuida a mayores en su casa;57101013;ASISTENTES DOMICILIARIOS;1;
una persona que atiende la barra de un bar;51201027;CAMAREROS DE BARRA Y/O DEPENDIENTES DE CAFET;1;
una persona que lleva las facturas y las nominas;41111011;EMPLEADOS ADMINISTRATIVOS DE CONTABILIDAD, E;1;
una persona que maneja carretilla en un almacen;83331015;CONDUCTORES-OPERADORES DE CARRETILLA ELEVADO;1;
una persona que corta el pelo en una peluqueria;58111037;PELUQUEROS UNISEX;1;
cuidado de ancianos en sus casas;57101013;ASISTENTES DOMICILIARIOS;1;si
cuidadora en residencia de ancianos;56291025;CUIDADORES DE PERSONAS CON DISCAPACIDAD Y/O ;1;
fontanera;72211012;FONTANEROS;1;
camarera de barra;51201027;CAMAREROS DE BARRA Y/O DEPENDIENTES DE CAFET;1;
uber;84111014;CONDUCTORES PROPIETARIOS DE AUTOMÓVILES, TAX;1;
limpieza en casas particulares;92101050;PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERA;3;
mozo de almacen;98111024;MOZOS DE CARGA Y DESCARGA, ALMACÉN Y/O MERCA;1;
repartidor en moto para glovo;84401012;CONDUCTORES-REPARTIDORES EN MOTOCICLETA, CIC;1;
auxiliar administrativa facturacion;41111011;EMPLEADOS ADMINISTRATIVOS DE CONTABILIDAD, E;1;
interna cuidando a un senor mayor;91001029;EMPLEADOS DE HOGAR (INTERNOS);1;
peluquera de senoras;58111028;PELUQUEROS DE SEÑORAS;1;
para una persona que monta solados;72401073;SOLADORES-ALICATADORES, EN GENERAL;1;
para una persona que pintaba casas;72311035;PINTORES Y/O EMPAPELADORES;1;
ferrallista;71111025;FERRALLISTAS;1;
gruista de torre;83321041;CONDUCTORES-OPERADORES DE GRÚA TORRE;1;
alicatador de banos;72401073;SOLADORES-ALICATADORES, EN GENERAL;1;
matarife en matadero;77011051;MATARIFES-CARNICEROS, EN GENERAL;1;
soy escayolista;72111011;ESCAYOLISTAS;1;
profesor de ingles;23221019;PROFESORES DE IDIOMAS, EN GENERAL;3;
montador de trasdosado;71991021;COLOCADORES DE PREFABRICADOS LIGEROS (CONSTR;1;si
recepcionista de hotel;44221010;RECEPCIONISTAS DE HOTEL;1;
limpieza de oficinas;92101050;PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERA;1;
peon de la construccion;96021013;PEONES DE LA CONSTRUCCIÓN DE EDIFICIOS;3;
zapatero remendon;78371255;ZAPATEROS-REPARADORES DE CALZADO;1;
vigilante de seguridad;59411028;VIGILANTES DE SEGURIDAD;1;si
socorrista de piscina;59921017;BAÑISTAS-SOCORRISTAS;3;
teleoperadora de atencion al cliente;44111018;EMPLEADOS DEL ÁREA DE ATENCIÓN AL CLIENTE;1;
mecanico de coches;74011119;MECÁNICOS-AJUSTADORES DEL AUTOMÓVIL, EN GENE;3;si
electricista de obra;75101015;INSTALADORES ELECTRICISTAS DE EDIFICIOS Y VI;3;si
cocinero de restaurante;51101026;COCINEROS, EN GENERAL;3;
